table,project,sponsors,url
1,Machine Learning - First Steps,,http://hackisu-f16.devpost.com/submissions/56962-machine-learning-first-steps
2,ScrapForCash,,http://hackisu-f16.devpost.com/submissions/56963-scrapforcash
3,Synesthesia,,http://hackisu-f16.devpost.com/submissions/56964-synesthesia
4,Holothon,,http://hackisu-f16.devpost.com/submissions/56965-holothon
5,Text adventure of awesomeness,,http://hackisu-f16.devpost.com/submissions/56966-text-adventure-of-awesomeness
6,oprah,,http://hackisu-f16.devpost.com/submissions/56967-oprah
7,H.U.S.T.L.E.,,http://hackisu-f16.devpost.com/submissions/56968-h-u-s-t-l-e
8,Health.IO,,http://hackisu-f16.devpost.com/submissions/56969-health-io
9,Dronie,"The Googliest Hack, Rockwell Most Innovative Hack, John Deere Most Customer Focused Hack",http://hackisu-f16.devpost.com/submissions/56970-dronie
10,BrainStorm,,http://hackisu-f16.devpost.com/submissions/56971-brainstorm
11,Performers and Venues Hub,,http://hackisu-f16.devpost.com/submissions/56972-performers-and-venues-hub
12,DestinationGraduation,,http://hackisu-f16.devpost.com/submissions/56973-destinationgraduation
13,NewBot,,http://hackisu-f16.devpost.com/submissions/56974-newbot
14,Notestradamus,"The Googliest Hack, Rockwell Most Innovative Hack, John Deere Most Customer Focused Hack",http://hackisu-f16.devpost.com/submissions/56975-notestradamus
15,CarTracker,,http://hackisu-f16.devpost.com/submissions/56976-cartracker
16,AllWatch,,http://hackisu-f16.devpost.com/submissions/56977-allwatch
17,GForge Chat,Best Use of GForgeAPI,http://hackisu-f16.devpost.com/submissions/56978-gforge-chat
18,LyricProf,The Googliest Hack,http://hackisu-f16.devpost.com/submissions/56981-lyricprof
19,Runin,,http://hackisu-f16.devpost.com/submissions/57104-runin
20,MLH SMACKDOWN RAW,"Best Use of Clarifai API, The Googliest Hack",http://hackisu-f16.devpost.com/submissions/57107-mlh-smackdown-raw
21,Procrasti,,http://hackisu-f16.devpost.com/submissions/57108-procrasti
22,TaggedYourPic (TYP),Best Use of Clarifai API,http://hackisu-f16.devpost.com/submissions/57111-taggedyourpic-typ
23,Rate ISU,,http://hackisu-f16.devpost.com/submissions/57133-rate-isu
24,hackReCaptcha,,http://hackisu-f16.devpost.com/submissions/57142-hackrecaptcha
25,medicine prescription website,,http://hackisu-f16.devpost.com/submissions/57144-medicine-prescription-website
26,MemeMarket,,http://hackisu-f16.devpost.com/submissions/57169-mememarket
27,Pantri,,http://hackisu-f16.devpost.com/submissions/57197-pantri
28,Twitch Plays Dungeons & Dragons,,http://hackisu-f16.devpost.com/submissions/57203-twitch-plays-dungeons-dragons
29,ISUHackathon16,,http://hackisu-f16.devpost.com/submissions/57214-isuhackathon16
30,The Apocolypse,,http://hackisu-f16.devpost.com/submissions/57218-the-apocolypse
31,Bad Apples Against Humanity,,http://hackisu-f16.devpost.com/submissions/57220-bad-apples-against-humanity
32,WebGL Wrapper for JavaScript,,http://hackisu-f16.devpost.com/submissions/57230-webgl-wrapper-for-javascript
33,Twohy's Lazer Harp,,http://hackisu-f16.devpost.com/submissions/57240-twohy-s-lazer-harp
34,Aye Aye Caption,"Vermeer Best Machine Vision/Object Detection Hack, Best Use of Clarifai API",http://hackisu-f16.devpost.com/submissions/57243-aye-aye-caption
35,Excuser,,http://hackisu-f16.devpost.com/submissions/57253-excuser
36,prep4.tech,"Best Domain on Domain.com, The Googliest Hack, Rockwell Most Innovative Hack, John Deere Most Customer Focused Hack",http://hackisu-f16.devpost.com/submissions/57254-prep4-tech
37,Amputee Mouse,"Rockwell Most Innovative Hack, John Deere Most Customer Focused Hack",http://hackisu-f16.devpost.com/submissions/57274-amputee-mouse
38,Holographic Zombie Survival Game,"Vermeer Best Machine Vision/Object Detection Hack, The Googliest Hack, Rockwell Most Innovative Hack, John Deere Most Customer Focused Hack, John Deere Mission Prize, Cerner Best Health Hack",http://hackisu-f16.devpost.com/submissions/57287-holographic-zombie-survival-game
39,ourState,,http://hackisu-f16.devpost.com/submissions/57307-ourstate
40,Hello Math,,http://hackisu-f16.devpost.com/submissions/57395-hello-math
41,GamePlay,,http://hackisu-f16.devpost.com/submissions/57408-gameplay
42,The Cantor Programming Language,"The Googliest Hack, Rockwell Most Innovative Hack, John Deere Most Customer Focused Hack",http://hackisu-f16.devpost.com/submissions/57443-the-cantor-programming-language
43,CollegeCredit,,http://hackisu-f16.devpost.com/submissions/57454-collegecredit
44,Hackathon the Game,,http://hackisu-f16.devpost.com/submissions/57462-hackathon-the-game
45,FountainView,,http://hackisu-f16.devpost.com/submissions/57487-fountainview
46,PocketWatch,"Best Domain on Domain.com, Workiva Best Use of Cloud Computing, The Googliest Hack, Rockwell Most Innovative Hack, John Deere Most Customer Focused Hack, John Deere Mission Prize",http://hackisu-f16.devpost.com/submissions/57491-pocketwatch
47,Paintifai,"Best Use of Clarifai API, The Googliest Hack, Rockwell Most Innovative Hack, John Deere Most Customer Focused Hack, John Deere Mission Prize",http://hackisu-f16.devpost.com/submissions/57493-paintifai
48,Lightning Chemistry,,http://hackisu-f16.devpost.com/submissions/57495-lightning-chemistry
49,A Game of Rhythm and Light,,http://hackisu-f16.devpost.com/submissions/57499-a-game-of-rhythm-and-light
50,Talk Lock,"Best Device Privacy Hack, The Googliest Hack",http://hackisu-f16.devpost.com/submissions/57500-talk-lock
51,The WingMug,"Rockwell Most Innovative Hack, John Deere Most Customer Focused Hack, John Deere Mission Prize, Cerner Best Health Hack",http://hackisu-f16.devpost.com/submissions/57502-the-wingmug
